name,epidCode,growthRate,region,archived,externalID,uuid
LK Rastatt,RA,0,Baden-Württemberg,0,11008216,a122ec25-df4d-5b6d-bcff-cf3f32e34db6
SK Heidelberg,HD,0,Baden-Württemberg,0,11008221,87273cc7-8147-582f-bf24-9830f614cda9
SK Mannheim,MA,0,Baden-Württemberg,0,11008222,94509d51-7685-5dde-a3b2-afdb9f4d64a9
LK Neckar-Odenwald-Kreis,MOS,0,Baden-Württemberg,0,11008225,a409ded2-1a61-578e-b145-842b8c00b057
LK Rhein-Neckar-Kreis,HD,0,Baden-Württemberg,0,11008226,fd6f9dcb-6e9a-5f11-a4a0-70d571c27f68
SK Pforzheim,PF,0,Baden-Württemberg,0,11008231,137f895c-64d1-560f-8fa3-ce81c5f6f198
LK Calw,CW,0,Baden-Württemberg,0,11008235,98160cd6-6732-588d-99a8-e75e0303e1db
LK Enzkreis,PF,0,Baden-Württemberg,0,11008236,47d343f3-8784-59c8-b9e1-d22723d33523
LK Freudenstadt,FDS,0,Baden-Württemberg,0,11008237,48ea658e-4a7d-5fac-9865-d2af5f018191
SK Freiburg i.Breisgau,FR,0,Baden-Württemberg,0,11008311,c652b018-da93-5070-9c39-3167ab00e28a
LK Breisgau-Hochschwarzwald,FR,0,Baden-Württemberg,0,11008315,36d007e4-4697-5a0b-b1a7-4d63499d2e2e
LK Emmendingen,EM,0,Baden-Württemberg,0,11008316,e0f00b7e-038b-5a1a-b8ba-11d2e09c58b4
LK Ortenaukreis,OG,0,Baden-Württemberg,0,11008317,f6078c0a-cc39-5ab9-826a-5005725da978
LK Rottweil,RW,0,Baden-Württemberg,0,11008325,21613df7-c408-5a7d-a845-a8a956a9c798
LK Schwarzwald-Baar-Kreis,VS,0,Baden-Württemberg,0,11008326,5af4bb9e-9431-53d1-a7ce-aa4bdb9ea2fa
LK Tuttlingen,TUT,0,Baden-Württemberg,0,11008327,f1c33520-4469-5a73-bbcb-3e52cef8cd50
